"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"600173","1999-04-15","1999","","","1993-07-17","1999-03-18","1999-04-15","A","80000000","4.4200","CNY","6.280","0.420814","0.19675","0.62850","26.36","5.45"
"600175","1999-04-08","1999","","","1993-04-20","1999-03-23","1999-04-08","A","13340000","13.2000","CNY","24.300","0.840909","0.15548","0.62169","40.13","5.45"
"600176","1999-04-22","1999","","","1999-04-16","1999-03-05","1999-04-22","A","70000000","3.0500","CNY","5.730","0.878689","0.21793","0.72645","32.82","5.20"
"600177","1998-11-19","1998","","","1993-03-30","1998-10-12","1998-11-19","A","55000000","10.9200","CNY","26.000","1.380952","0.14348","0.57544","49.68","19.12"
"600178","1998-10-14","1998","","","1998-10-08","1998-09-10","1998-10-14","A","82000000","7.0000","CNY","10.550","0.507143","0.09142","0.45291","32.44","12.63"
"600179","1998-11-04","1998","","","1998-10-30","1998-09-22","1998-11-04","A","100000000","3.9100","CNY","5.740","0.468031","0.12941","0.56942","37.87","5.82"
"600180","1998-07-03","1998","","","1998-06-25","1998-06-08","1998-07-03","A","32000000","5.2000","CNY","16.880","2.246154","0.17084","0.70592","61.97","15.58"
"600181","1998-09-28","1998","","","1998-09-16","1998-08-27","1998-09-28","A","60000000","6.3900","CNY","17.900","1.801252","0.21347","0.62706","70.23","30.88"
"600182","1999-05-07","1999","","","1993-06-08","1999-04-12","1999-05-07","A","120000000","3.3600","CNY","5.350","0.592262","0.22061","0.73536","26.88","4.19"
"600183","1998-10-28","1998","","","1993-12-21","1998-09-16","1998-10-28","A","85000000","4.1800","CNY","7.390","0.767943","0.14755","0.63108","31.93","7.40"
"600184","2003-11-06","2003","","","2000-08-31","2003-10-22","2003-11-06","A","30000000","6.1400","CNY","10.710","0.744300","0.22269","0.51960","59.14","9.22"
"600185","1999-06-11","1999","","","1999-06-09","1999-05-26","1999-06-11","A","68000000","4.6800","CNY","18.570","2.967949","0.22558","0.72983","94.07","25.68"
"600186","1998-08-25","1998","","","1998-07-02","1998-06-15","1998-08-25","A","100000000","7.0100","CNY","10.220","0.457917","0.14916","0.49718","30.46","9.93"
"600187","1998-11-11","1998","","","1998-11-03","1998-10-05","1998-11-11","A","50000000","4.5700","CNY","12.590","1.754923","0.14385","0.71925","44.68","10.94"
"600188","1998-07-01","1998","","01171","1997-09-25","1998-06-08","1998-07-01","A","80000000","3.3700","CNY","7.690","1.281899","0.01641","0.59260","27.08","7.21"
"600189","1998-10-07","1998","","","1998-09-29","1998-09-03","1998-10-07","A","85000000","5.3500","CNY","8.120","0.517757","0.12167","0.50994","28.77","8.52"
"600190","1999-06-09","1999","900952","","1993-02-09","1999-05-07","1999-06-09","B","60000000","4.0500","CNY","9.070","1.239506","0.06305","0.73677","49.31","6.03"
"600191","1998-12-10","1998","","","1998-11-30","1998-11-02","1998-12-10","A","70000000","4.3000","CNY","7.570","0.760465","0.14009","0.60039","33.58","10.89"
"600192","1998-12-24","1998","","","1998-12-10","1998-11-24","1998-12-24","A","85000000","5.4300","CNY","9.270","0.707182","0.12297","0.53346","55.39","10.99"
"600193","1999-05-27","1999","","","1999-04-27","1999-04-05","1999-05-27","A","23000000","6.3800","CNY","16.330","1.559561","0.18658","0.68062","52.14","16.66"
"600195","1999-01-07","1999","","","1998-12-25","1998-11-18","1999-01-07","A","80000000","6.2800","CNY","10.380","0.652866","0.13212","0.53673","39.53","14.69"
"600196","1998-08-07","1998","","02196","1998-07-13","1998-06-25","1998-08-07","A","50000000","7.1500","CNY","24.700","2.454545","0.22503","0.75360","103.32","36.96"
"600197","1999-09-16","1999","","","1999-05-27","1999-07-29","1999-09-16","A","75000000","6.2600","CNY","14.200","1.268371","0.17916","0.58525","41.66","15.75"
"600198","1998-10-21","1998","","","1998-09-21","1998-08-07","1998-10-21","A","100000000","5.9800","CNY","17.600","1.943144","0.17684","0.73802","78.70","23.04"
"600199","1998-08-12","1998","","","1998-07-23","1998-07-02","1998-08-12","A","65000000","5.7000","CNY","11.290","0.980702","0.20153","0.65454","40.06","12.49"
"600200","1999-04-01","1999","","","1994-06-28","1999-03-11","1999-04-01","A","33500000","7.7500","CNY","15.000","0.935484","0.28392","0.70769","39.85","10.21"
"600201","1999-01-15","1999","","","1993-03-13","1998-12-02","1999-01-15","A","35000000","6.8300","CNY","14.330","1.098097","0.23855","0.66115","55.95","16.71"
"600202","1999-06-03","1999","","","1993-06-25","1999-04-26","1999-06-03","A","30000000","6.0800","CNY","13.400","1.203947","0.17888","0.66601","44.76","12.12"
