month,MarketR,MarketR_e,rfmonth,ret,ret_e,marketret3,marketret6,marketret12,ipor,pd,l.pd,l.ipor
2012.41666666667,-0.050284,-0.055582,0.00271613333333333,-0.0530001333333333,-0.0582981333333333,-0.131155726412518,-0.178994459741228,-0.0209293250130576,0.0619005245778182,3.89739881361251,3.94150235636368,0.284817315789474
2012.5,-0.054982,-0.095576,0.00249874193548387,-0.0574807419354839,-0.0980747419354839,-0.0622420603607302,-0.00168758412383818,-0.109969818200526,0.162346065328236,3.767558475927,3.89739881361251,0.0619005245778182
2012.58333333333,-0.023347,0.027085,0.002466,-0.025813,0.024619,-0.0165650250046298,0.112134296064481,-0.029564338519962,0.424688657881466,3.7251198641137,3.767558475927,0.162346065328236
2012.66666666667,0.02411,0.009494,0.002466,0.021644,0.007028,-0.0534668027236583,0.139622858152031,0.0485247660208723,0.2433815788145,3.74392002457152,3.7251198641137,0.424688657881466
2012.75,-0.009347,0.002608,0.002466,-0.011813,0.000142,0.0645531326761695,0.0551136591165682,0.0673642168975928,0.69091237,3.73880303278397,3.74392002457152,0.2433815788145
2012.83333333333,-0.05972,-0.109759,0.002466,-0.062186,-0.112225,0.130011617512182,0.0393118423163859,0.0560267569428758,6.267442,3.68932962076905,3.73880303278397,0.69091237
2012.91666666667,0.15081,0.170955,0.002466,0.148344,0.168489,0.202826453057464,0.192219407650702,0.175772540335092,0,3.84100254553385,3.68932962076905,6.267442
2013,0.051146,0.064163,0.002466,0.04868,0.061697,-0.00925233160402705,-0.106843244789729,-0.0254408062862055,0,3.89839481390686,3.84100254553385,0
2013.08333333333,0.000474,0.04828,0.002466,-0.001992,0.045814,-0.080588824039437,-0.127209637071021,-0.0972790329100088,0,3.90801724715707,3.89839481390686,0
2013.16666666667,-0.050854,-0.033663,0.002466,-0.05332,-0.036129,-0.010007297454221,-0.0807067063744673,-0.0864114945830589,0,3.85200348844279,3.90801724715707,0
2013.25,-0.023977,-0.027986,0.002466,-0.026443,-0.030452,-0.0977016829388968,0.010682280024837,-0.055027449848729,0,3.84089575875576,3.85200348844279,0
2013.33333333333,0.076664,0.145539,0.002466,0.074198,0.143073,-0.0496566499585271,0.0153003876529549,-0.0368710738053902,0,3.94739891480149,3.84089575875576,0
2013.41666666667,-0.134305,-0.155061,0.002466,-0.136771,-0.157527,-0.0708086602152519,-0.0159957140204915,-0.0946360753058326,0,3.72020077900236,3.94739891480149,0
2013.5,0.02757,0.071334,0.002466,0.025104,0.068868,0.119937117456642,0.0913976021645775,0.0781835170581597,0,3.67416214973796,3.72020077900236,0
2013.58333333333,0.052886,0.087464,0.002466,0.05042,0.084998,0.0682063678420988,0.0358513381821972,0.13918050178544,0,3.73125515210614,3.67416214973796,0
2013.66666666667,0.041999,0.057423,0.002466,0.039533,0.054957,0.0590835282821516,-0.00482055039480245,0.0998894522278082,-0.052065,3.77209036771058,3.73125515210614,0
2013.75,-0.019582,-0.023135,0.002466,-0.022048,-0.025601,-0.0261045033288958,-0.0642265037897242,0.14048731898135,0,3.75920902399743,3.77209036771058,-0.052065
2013.83333333333,0.043956,0.087683,0.002466,0.04149,0.085217,-0.0305505526836718,-0.050863775408236,0.190378820421831,0,3.80733992496941,3.75920902399743,0
2013.91666666667,-0.041232,-0.0325,0.002466,-0.043698,-0.034966,-0.0603303049782736,-0.0784892062481628,0.248519219284662,0.605787,3.777196253957,3.80733992496941,0
2014,-0.024024,0.022638,0.002466,-0.02649,0.020172,-0.038650716776379,-0.0131745137613211,0.50587908871484,0.733337510692928,3.75983271499118,3.777196253957,0.605787
2014.08333333333,0.012131,0.042109,0.002466,0.009665,0.039643,-0.0205623473224416,0.0978315645036485,0.563740281364206,1.29829847192467,3.77220683167245,3.75983271499118,0.733337510692928
2014.16666666667,-0.019285,-0.025239,0.002466,-0.021751,-0.027705,-0.0187010229322493,0.103737447151479,0.615784311766595,0,3.75777489533274,3.77220683167245,1.29829847192467
2014.25,-0.005801,-0.012449,0.002466,-0.008267,-0.014915,0.0265934796520657,0.216344199410427,0.90655303049627,0,3.73312082032105,3.75777489533274,0
2014.33333333333,0.01404,0.031335,0.002466,0.011574,0.028869,0.120125589177953,0.25103098663094,1.26840300585054,0,3.73933296135988,3.73312082032105,0
2014.41666666667,0.025643,0.050456,0.002466,0.023177,0.04799,0.123976203964731,0.350462075500612,1.42788360199277,2.44763916290243,3.73412885294847,3.73933296135988,0
2014.5,0.08413,0.079439,0.002466,0.081664,0.076973,0.183318868916204,0.518358268797306,1.18080771068898,1.97276157097375,3.6604406639047,3.73412885294847,2.44763916290243
2014.58333333333,0.017503,0.064888,0.002466,0.015037,0.062422,0.115307928754373,0.417444521364733,0.705479278644779,1.81811312015795,3.67730435478497,3.6604406639047,1.97276157097375
2014.66666666667,0.079439,0.145186,0.002466,0.076973,0.14272,0.199377339772704,0.456428942215232,0.434914091329534,1.85206656302312,3.76602755458889,3.67730435478497,1.81811312015795
2014.75,0.022208,0.021251,0.002466,0.019742,0.018785,0.280270957465942,0.558159400646573,0.257323278267204,2.32512917727597,3.77525921399558,3.76602755458889,1.85206656302312
2014.83333333333,0.093638,0.066668,0.0024051,0.0912329,0.0642629,0.268396760434843,0.801008263400461,0.405818511098861,4.40272731291519,3.86949016470597,3.77525921399558,2.32512917727597
2014.91666666667,0.151617,-0.030531,0.002263,0.149354,-0.032794,0.211890361744763,0.785842088599139,0.335407552985099,1.67794791309098,4.02983796686614,3.86949016470597,4.40272731291519
2015,0.012618,0.080682,0.002263,0.010355,0.078419,0.214411841544266,0.427916437500133,0.204602770282766,2.77895235861959,4.04240758242422,4.02983796686614,1.67794791309098
2015.08333333333,0.04506,0.082388,0.002263,0.042797,0.080125,0.416275712816255,0.19770647433759,-0.111527042174697,1.89115279329163,4.08359323043944,4.04240758242422,2.77895235861959
2015.16666666667,0.153807,0.236307,0.00206,0.151747,0.234247,0.469903520846967,-0.0181036219431845,-0.168588485236149,2.84351704942612,4.24828243667576,4.08359323043944,1.89115279329163
2015.25,0.17986,0.193956,0.00206,0.1778,0.191896,0.173835151491215,-0.195131534989575,-0.177244814553284,8.33786825674728,4.39962802073901,4.24828243667576,2.84351704942612
2015.33333333333,0.084202,0.326876,0.0019218064516129,0.0822801935483871,0.324954193548387,-0.155218527451789,-0.22217978361759,-0.318854939600784,6.12129143687116,4.43610376927511,4.39962802073901,8.33786825674728
2015.41666666667,-0.077816,-0.084018,0.0018356,-0.0796516,-0.0858536,-0.332264096335897,-0.254443169440266,-0.374917413776318,2.35670825683663,4.52026471828799,4.43610376927511,6.12129143687116
2015.5,-0.149658,-0.162964,0.001652,-0.15131,-0.164616,-0.313468086724627,-0.15759782574237,-0.303141988803979,3.61460933166305,4.10241585650896,4.52026471828799,2.35670825683663
2015.58333333333,-0.141968,-0.144868,0.00161232258064516,-0.143580322580645,-0.146480322580645,-0.0779451543228014,-0.256999494402904,-0.165967823224954,0,3.9523219366278,4.10241585650896,3.61460933166305
2015.66666666667,-0.052589,-0.03714,0.001447,-0.054036,-0.038587,0.117678035970997,-0.151389227649961,0.0164322522283367,0,3.92011491978357,3.9523219366278,0
2015.75,0.139752,0.228882,0.00139383870967742,0.138358161290323,0.227488161290323,0.227250109489001,0.0237590924277353,0.0525507829068881,0,4.06410840165023,3.92011491978357,0
2015.83333333333,0.038851,0.125357,0.001241,0.03761,0.124116,-0.192942225150203,-0.120620610030595,-0.0503131930909946,2.767183154176,4.1262607165948,4.06410840165023,0
2015.91666666667,0.039778,0.072962,0.001241,0.038537,0.071721,-0.240251587522857,-0.157098447240336,-0.0465328474613861,4.87841079836771,4.19609096801579,4.1262607165948,2.767183154176
